"battery_power";"blue";"clock_speed";"dual_sim";"fc";"four_g";"int_memory";"m_dep";"mobile_wt";"n_cores";"pc";"ram";"sc_h";"sc_w";"touch_screen";"wifi";"price_range"
842;0;2,2;0;1;0;7;0,6;188;2;2;2549;9;7;0;1;"1:médio"
1021;1;0,5;1;0;1;53;0,7;136;3;6;2631;17;3;1;0;"2:caro"
563;1;0,5;1;2;1;41;0,9;145;5;6;2603;11;2;1;0;"2:caro"
615;1;2,5;0;0;0;10;0,8;131;6;9;2769;16;8;0;0;"2:caro"
1821;1;1,2;0;13;1;44;0,6;141;2;14;1411;8;2;1;0;"1:médio"
1859;0;0,5;1;3;0;22;0,7;164;1;7;1067;17;1;0;0;"1:médio"
1821;0;1,7;0;4;1;10;0,8;139;8;10;3220;13;8;0;1;"3:muito caro"
1954;0;0,5;1;0;0;24;0,8;187;4;0;700;16;3;1;1;"0:baixo"
1445;1;0,5;0;0;0;53;0,7;174;7;14;1099;17;1;0;0;"0:baixo"
509;1;0,6;1;2;1;9;0,1;93;5;15;513;19;10;0;0;"0:baixo"
769;1;2,9;1;0;0;9;0,1;182;5;1;3946;5;2;0;0;"3:muito caro"
1520;1;2,2;0;5;1;33;0,5;177;8;18;3826;14;9;1;1;"3:muito caro"
1815;0;2,8;0;2;0;33;0,6;159;4;17;1482;18;0;0;0;"1:médio"
803;1;2,1;0;7;0;17;1;198;4;11;2680;7;1;0;1;"2:caro"
1866;0;0,5;0;13;1;52;0,7;185;1;17;373;14;9;0;1;"0:baixo"
775;0;1;0;3;0;46;0,7;159;2;16;568;17;15;1;1;"0:baixo"
838;0;0,5;0;1;1;13;0,1;196;8;4;3554;10;9;0;1;"3:muito caro"
595;0;0,9;1;7;1;23;0,1;121;3;17;3752;10;2;1;0;"3:muito caro"
1131;1;0,5;1;11;0;49;0,6;101;5;18;1835;19;13;1;0;"1:médio"
682;1;0,5;0;4;0;19;1;121;4;11;2337;11;1;1;1;"1:médio"
772;0;1,1;1;12;0;39;0,8;81;7;14;2819;17;15;1;0;"3:muito caro"
1709;1;2,1;0;1;0;13;1;156;2;2;3283;17;1;0;0;"3:muito caro"
1949;0;2,6;1;4;0;47;0,3;199;4;7;1433;11;5;0;1;"1:médio"
1602;1;2,8;1;4;1;38;0,7;114;3;20;1037;8;7;0;0;"0:baixo"
503;0;1,2;1;5;1;8;0,4;111;3;13;2583;11;0;0;0;"1:médio"
961;1;1,4;1;0;1;57;0,6;114;8;3;2782;18;9;1;1;"2:caro"
519;1;1,6;1;7;1;51;0,3;132;4;19;3763;16;1;0;1;"3:muito caro"
956;0;0,5;0;1;1;41;1;143;7;6;3286;17;8;1;0;"3:muito caro"
1453;0;1,6;1;12;1;52;0,3;96;2;18;2373;10;1;1;1;"2:caro"
851;0;0,5;0;3;0;21;0,4;200;5;7;478;12;7;0;1;"0:baixo"
1579;1;0,5;1;0;0;5;0,2;88;7;9;3532;17;11;0;1;"3:muito caro"
1568;1;0,5;0;16;0;33;1;150;8;20;508;5;1;1;1;"0:baixo"
1319;1;0,9;0;3;1;41;0,9;107;1;18;2227;18;5;1;1;"1:médio"
1310;1;2,2;1;0;1;51;0,6;100;4;0;3845;7;0;1;0;"3:muito caro"
644;1;2,7;0;0;0;22;0,7;157;8;3;1262;12;1;0;0;"0:baixo"
725;0;1,3;1;16;0;60;0,4;160;8;17;1326;10;4;0;0;"1:médio"
589;1;2,3;1;1;0;61;0,6;160;4;10;2113;13;7;0;1;"1:médio"
1725;1;1,6;1;6;1;6;0,5;119;2;18;3429;6;5;1;0;"3:muito caro"
790;0;2;1;16;1;11;0,3;87;6;17;3169;6;1;0;1;"2:caro"
560;0;0,5;1;15;0;50;0,3;159;2;20;2150;18;12;1;0;"2:caro"
1347;0;2,9;0;5;0;44;0,6;132;1;14;2484;18;2;0;1;"2:caro"
1646;1;2,3;0;8;1;41;0,2;185;2;10;3339;18;10;1;0;"3:muito caro"
1253;1;0,5;1;5;1;5;0,2;152;2;19;1878;15;0;1;0;"1:médio"
1656;0;1;0;5;1;34;0,1;166;3;7;1629;15;12;1;0;"1:médio"
1195;1;2,8;0;1;1;20;0,8;110;2;14;504;9;3;1;0;"0:baixo"
1514;0;2,9;0;0;0;27;0,2;118;3;1;1152;8;3;1;1;"1:médio"
1723;1;1,1;1;1;0;42;1;164;8;14;3587;10;5;0;0;"3:muito caro"
1054;1;1,8;1;3;1;40;0,8;196;7;10;2296;16;12;0;1;"1:médio"
578;1;2,6;1;2;1;57;0,2;162;8;8;1270;15;3;0;1;"0:baixo"
596;0;2,1;1;9;0;64;0,8;111;8;15;3238;16;13;0;0;"3:muito caro"
1547;1;3;1;2;1;14;0,7;198;3;19;2059;5;0;0;1;"2:caro"
1760;0;1,4;1;5;0;63;0,8;127;8;19;2053;19;12;1;0;"2:caro"
1654;1;1,5;1;0;1;43;0,3;109;2;0;3112;12;5;1;0;"3:muito caro"
1457;0;1,9;1;1;1;16;0,3;102;3;10;1440;17;8;0;1;"1:médio"
1073;1;0,5;1;0;0;51;0,5;145;7;0;2908;6;0;1;0;"2:caro"
1936;0;2,1;1;10;1;46;0,6;104;3;20;2552;14;7;0;0;"2:caro"
823;1;2,7;1;13;0;60;0,5;148;8;19;905;14;11;1;1;"0:baixo"
987;0;1,3;1;0;1;61;0,4;107;3;9;3963;9;4;0;1;"3:muito caro"
1757;0;0,5;0;8;0;49;0,5;180;6;14;2056;7;5;0;0;"1:médio"
1063;0;1,4;1;2;1;48;1;128;5;4;2910;15;13;1;1;"2:caro"
1484;0;3;0;3;0;12;0,6;134;3;5;1457;14;4;1;0;"1:médio"
799;1;2,3;0;1;1;63;0,8;144;8;6;431;15;6;1;1;"0:baixo"
1156;1;1,2;1;0;1;50;0,8;159;2;0;470;7;0;1;0;"0:baixo"
1720;0;2;0;15;1;55;0,5;168;2;18;2148;14;2;1;1;"2:caro"
702;0;2,6;1;2;1;9;0,7;141;3;3;2955;10;4;0;0;"2:caro"
616;0;1,9;1;13;1;44;0,8;81;3;17;3366;18;8;1;0;"3:muito caro"
1358;1;0,5;0;11;1;36;0,3;155;4;14;3068;9;4;1;0;"3:muito caro"
1866;0;1,4;0;0;0;30;0,5;182;3;0;3834;16;11;0;0;"3:muito caro"
1242;0;1,1;1;0;0;10;0,6;165;2;1;1050;11;1;0;1;"0:baixo"
1166;0;1,5;1;0;1;43;0,8;80;4;1;3993;7;1;1;0;"3:muito caro"
1448;1;0,5;1;6;1;45;0,8;138;7;11;3378;13;11;1;1;"3:muito caro"
1407;1;2,4;0;1;1;22;0,7;104;4;4;2192;9;7;0;1;"2:caro"
605;0;1;0;8;1;9;0,1;142;3;16;392;15;6;0;0;"0:baixo"
1038;0;1,2;0;3;0;43;0,7;141;1;5;3709;11;0;1;1;"3:muito caro"
797;1;2,9;1;4;0;38;0,5;90;4;6;590;9;2;1;0;"0:baixo"
819;0;0,6;1;8;1;42;0,9;188;6;20;1814;5;4;0;1;"1:médio"
1114;0;2,8;0;4;1;9;0,4;197;3;15;907;10;7;1;0;"0:baixo"
1234;1;1,6;1;1;0;33;0,6;172;1;3;1449;11;7;0;1;"0:baixo"
1199;1;2,5;1;15;1;16;0,2;116;4;20;3448;17;13;0;1;"3:muito caro"
1103;0;1;1;6;0;29;0,7;111;6;8;1837;8;7;1;1;"1:médio"
1589;1;0,6;1;0;1;58;0,9;85;7;7;3464;19;10;1;1;"3:muito caro"
999;0;2,9;1;11;1;64;0,2;199;4;19;2593;14;11;1;0;"2:caro"
1510;1;0,9;1;2;0;45;0,9;180;5;3;3484;9;6;1;1;"3:muito caro"
1008;0;0,8;0;11;0;61;1;114;3;15;2009;10;3;0;0;"1:médio"
1127;1;2,9;1;5;1;57;0,8;163;1;13;2048;11;5;1;1;"1:médio"
1412;1;2,4;0;5;0;25;0,8;96;8;17;837;15;9;0;1;"1:médio"
1496;1;2;1;4;0;42;0,5;182;5;5;854;16;0;1;1;"0:baixo"
1083;1;2,9;1;1;1;64;0,8;178;3;11;3210;13;3;0;0;"3:muito caro"
668;0;0,5;1;0;0;3;0,1;155;5;13;2746;9;5;1;1;"2:caro"
1309;0;1,1;1;0;0;33;0,5;100;4;14;2334;10;1;0;1;"2:caro"
1724;0;2;1;2;1;57;0,5;177;3;5;2822;19;3;1;0;"3:muito caro"
1977;1;2;1;7;1;54;1;171;7;18;1971;18;7;1;0;"2:caro"
885;0;2,3;1;0;1;15;0,4;103;7;0;1410;16;10;1;1;"0:baixo"
879;1;2,5;0;11;1;14;0,7;83;6;15;349;16;10;0;1;"0:baixo"
1322;0;1,7;1;6;0;7;0,8;140;3;9;1418;19;17;1;0;"1:médio"
1137;1;1;0;18;0;7;1;196;3;19;3616;13;5;1;1;"3:muito caro"
1355;0;2,3;0;10;1;23;0,2;132;5;16;880;19;4;1;0;"0:baixo"
1665;1;0,5;0;3;1;60;0,2;194;6;18;1601;18;17;0;0;"2:caro"
657;0;2,5;0;0;0;37;0,7;141;2;1;1412;14;3;1;0;"0:baixo"
593;0;0,5;0;6;0;31;0,4;156;7;7;1692;6;2;0;0;"1:médio"
1883;1;0,5;0;3;1;10;0,3;146;6;13;2600;16;8;0;0;"3:muito caro"
1732;1;1,1;0;4;1;12;0,8;119;8;9;1308;16;7;0;1;"1:médio"
543;0;0,5;0;0;0;57;0,7;192;5;4;2413;17;14;0;0;"1:médio"
1939;1;2,8;1;0;1;55;0,6;199;4;10;1047;14;10;1;0;"0:baixo"
553;0;2,4;1;1;1;8;0,5;121;7;3;1204;11;4;1;1;"0:baixo"
832;0;0,7;1;2;1;39;0,7;103;4;3;1799;5;2;0;1;"1:médio"
1661;0;1,9;1;5;0;23;1;172;5;10;2676;12;6;1;1;"3:muito caro"
1657;1;2,4;0;3;0;42;0,1;198;5;16;2597;18;1;0;0;"3:muito caro"
1135;1;2;1;0;0;46;0,3;83;1;4;3029;19;17;1;1;"3:muito caro"
1775;1;1,5;0;3;0;41;0,1;163;1;7;2343;19;13;1;1;"3:muito caro"
783;0;1,8;1;0;1;43;1;106;3;4;2016;16;4;1;0;"1:médio"
617;1;2,3;0;0;0;32;0,5;199;7;20;2213;18;13;0;0;"1:médio"
867;0;1,4;1;0;1;4;0,7;135;6;1;790;13;6;1;0;"0:baixo"
1310;1;1,1;1;13;0;7;1;194;5;14;3182;8;4;1;0;"2:caro"
1804;0;0,5;0;9;1;22;0,6;153;7;19;3472;9;1;0;1;"3:muito caro"
1900;1;2,3;0;1;1;18;0,2;89;7;9;2871;12;1;1;1;"3:muito caro"
909;1;1,4;0;0;0;53;0,3;82;8;0;3187;12;9;0;0;"2:caro"
1084;1;2,6;0;3;1;40;0,9;107;3;11;1945;15;4;1;0;"1:médio"
1308;0;1,3;1;8;0;46;0,9;199;1;12;488;5;3;1;0;"0:baixo"
1778;0;0,5;0;0;0;15;0,5;102;3;0;1214;5;0;0;0;"1:médio"
1701;1;1,6;1;3;0;10;0,3;194;8;7;2598;12;9;1;0;"2:caro"
772;1;2,4;1;1;1;10;0,5;80;4;2;3242;18;11;1;0;"3:muito caro"
825;1;0,5;1;7;0;52;0,9;130;3;10;3534;10;4;1;0;"3:muito caro"
1379;0;1,1;0;5;1;36;0,8;200;2;7;3426;5;4;1;1;"3:muito caro"
1166;0;2;0;3;1;25;0,8;198;5;4;2488;13;5;0;0;"2:caro"
1659;0;2,8;0;5;0;16;0,6;89;1;20;3255;19;14;0;1;"3:muito caro"
826;1;2,4;1;0;1;58;0,3;88;4;1;2863;9;3;0;1;"2:caro"
1564;0;2,3;0;4;1;25;0,5;189;6;17;1496;6;4;1;1;"1:médio"
1957;0;0,9;1;11;0;31;0,6;181;3;16;3801;12;0;0;1;"3:muito caro"
